selection_method,run,generation,best_fitness,avg_fitness,diversity,fitness_delta,normalized_fitness,inv_best_fitness,inv_avg_fitness
tournament,4,4,0.19969822659613773,0.20138339894215546,0.0009396239262214674,4.396229530020945e-05,0.024406863589833572,5.007530660208078,4.9656279495972
ranking,0,0,0.22162331368661792,0.25813806366478687,0.018836392585737764,0.0,0.0,4.512140312429907,3.8738809454216345
ranking,0,1,0.22162331368661792,0.2628168820561607,0.016530721020537688,0.0,0.0,4.512140312429907,3.8049161349923417
ranking,0,2,0.22162331368661792,0.26585129769873483,0.019444101503045624,0.0,0.0,4.512140312429907,3.7614871440125945
ranking,0,3,0.22162331368661792,0.2701336564151657,0.02049870681692625,0.0,0.0,4.512140312429907,3.701857485709334
ranking,0,4,0.22162331368661792,0.2741434870177943,0.02075062800930189,0.0,0.0,4.512140312429907,3.647711507454431
ranking,0,5,0.22162331368661792,0.2767088083577636,0.02017290516921284,0.0,0.0,4.512140312429907,3.6138943029698467
ranking,0,6,0.22162331368661792,0.28045121691262564,0.021290076085106212,0.0,0.0,4.512140312429907,3.5656697993282336
ranking,0,7,0.22162331368661792,0.28422286044262907,0.022071814537151103,0.0,0.0,4.512140312429907,3.518353450138474
ranking,0,8,0.22162331368661792,0.28993750162772364,0.023536136159364215,0.0,0.0,4.512140312429907,3.449007270114074
ranking,0,9,0.22162331368661792,0.2939020058748758,0.02415126357835701,0.0,0.0,4.512140312429907,3.4024830641770745
ranking,1,0,0.20578674485716586,0.25667477443714076,0.020976461236683244,0.0,0.0,4.859375861736008,3.895965648464022
ranking,1,1,0.20578674485716586,0.26635083703818524,0.021484171806346625,0.0,0.0,4.859375861736008,3.754432524738458
ranking,1,2,0.20578674485716586,0.2697465871477609,0.021028007373121573,0.0,0.0,4.859375861736008,3.707169397041633
ranking,1,3,0.20578674485716586,0.27107018577837755,0.021579391386914157,0.0,0.0,4.859375861736008,3.6890678628512745
ranking,1,4,0.20578674485716586,0.2686194634021191,0.0236277043875111,0.0,0.0,4.859375861736008,3.722724573306321
ranking,1,5,0.20578674485716586,0.27208067712658013,0.025395389664928797,0.0,0.0,4.859375861736008,3.6753669359909584
ranking,1,6,0.20578674485716586,0.2755890172443586,0.02294640153753826,0.0,0.0,4.859375861736008,3.6285784586795313
ranking,1,7,0.20578674485716586,0.2748626612195951,0.02646225531910097,0.0,0.0,4.859375861736008,3.6381673574560898
